Side,Arc,Source,Target,Rot,AdaptFrac,ArcOK,nEval,nEvalPos,nArc,nArcPos,Method,Uses,K,BAC,Precision,Recall
Left,contig,HTL,PTT,1,0.3,1,1136,76,682,42,QOTu-HS4,arc labels,,0.47477656405163854,0.047872340425531915,0.11842105263157894
Left,contig,HTL,PTT,1,0.3,1,1136,76,682,42,QOTu-HSsrc,arc segments,,0.47241807348560083,0.046632124352331605,0.11842105263157894
Left,contig,HTL,PTT,1,0.3,1,1136,76,682,42,QOTu-PCA,arc segments,64.0,0.43229890764647466,0.034129692832764506,0.13157894736842105
Left,contig,HTL,PTT,1,0.3,1,1136,76,682,42,QOTc-HS4,arc labels,,0.6085898709036743,0.1223021582733813,0.4473684210526316
Left,contig,HTL,PTT,1,0.3,1,1136,76,682,42,QOTc-HSsrc,arc labels,,0.4894240317775571,0.056338028169014086,0.10526315789473684
Left,contig,HTL,PTT,1,0.3,1,1136,76,682,42,QOTc-PCA,arc labels,64.0,0.5667825223435948,0.10305343511450382,0.35526315789473684
Left,contig,HTL,PTT,1,0.3,1,1136,76,682,42,SDM-HS4,arc labels,,0.5855263157894737,0.10774410774410774,0.42105263157894735
Left,contig,HTL,PTT,1,0.3,1,1136,76,682,42,SDM-HSsrc,arc labels,,0.5023088381330685,0.06796116504854369,0.27631578947368424
Left,contig,HTL,PTT,1,0.3,1,1136,76,682,42,SDM-PCA,arc labels,64.0,0.48957298907646474,0.06451612903225806,0.5263157894736842
Left,contig,HTL,PTT,1,0.5,1,1136,76,1112,63,NoAdapt,nothing,,0.49285004965243295,0.06395348837209303,0.2894736842105263
Left,contig,HTL,PTT,1,0.5,1,1136,76,1112,63,TargetOnly,arc labels,,0.46037735849056605,0.051630434782608696,0.25
Left,contig,HTL,PTT,1,0.5,1,1136,76,1112,63,Source+Target,arc labels,,0.5040714995034756,0.07291666666666667,0.09210526315789473
Left,contig,HTL,PTT,1,0.5,1,1136,76,1112,63,COT,arc labels,,0.5067279046673288,0.06889352818371608,0.4342105263157895
Left,contig,HTL,PTT,1,0.5,1,1136,76,1112,63,none-HS4,arc labels,,0.4676762661370407,0.05776892430278884,0.3815789473684211
Left,contig,HTL,PTT,1,0.5,1,1136,76,1112,63,none-HSsrc,nothing,,0.4689672293942403,0.05172413793103448,0.19736842105263158
Left,contig,HTL,PTT,1,0.5,1,1136,76,1112,63,none-PCA,arc segments,16.0,0.4590367428003972,0.05737704918032787,0.4605263157894737
Left,contig,HTL,PTT,1,0.5,1,1136,76,1112,63,QOTu-HS4,arc labels,,0.46514399205561074,0.051829268292682924,0.2236842105263158
Left,contig,HTL,PTT,1,0.5,1,1136,76,1112,63,QOTu-HSsrc,arc segments,,0.4529791459781529,0.04421768707482993,0.17105263157894737
Left,contig,HTL,PTT,1,0.5,1,1136,76,1112,63,QOTu-PCA,arc segments,64.0,0.4354021847070506,0.04433497536945813,0.23684210526315788
Left,contig,HTL,PTT,1,0.5,1,1136,76,1112,63,QOTc-HS4,arc labels,,0.4987586891757696,0.06593406593406594,0.15789473684210525
Left,contig,HTL,PTT,1,0.5,1,1136,76,1112,63,QOTc-HSsrc,arc labels,,0.49143495531281034,0.06340057636887608,0.2894736842105263
Left,contig,HTL,PTT,1,0.5,1,1136,76,1112,63,QOTc-PCA,arc labels,64.0,0.45260675273088385,0.03829787234042553,0.11842105263157894
Left,contig,HTL,PTT,1,0.5,1,1136,76,1112,63,SDM-HS4,arc labels,,0.48855511420059583,0.06266318537859007,0.3157894736842105
Left,contig,HTL,PTT,1,0.5,1,1136,76,1112,63,SDM-HSsrc,arc labels,,0.5022591857000993,0.06784660766961652,0.3026315789473684
