Enc,Side,Source,Target,Rot,AdaptFrac,ArcOK,knob,value,Method,BAC
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-06,QOTc-HSsrc,0.3553048601706156
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-06,QOTc-PCA,0.495769515379138
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-06,none-HS4,0.5004258408611759
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-06,none-HSsrc,0.501361294556218
Ang,Right,HTL,PTT,1,0.05,1,EPS,1e-06,none-PCA,0.46957681191795936
Ang,Right,HTL,PTT,1,0.05,1,EPS,0.0001,QOTu-HS4,0.594746101112771
Ang,Right,HTL,PTT,1,0.05,1,EPS,0.0001,QOTu-HSsrc,0.6027184005138014
Ang,Right,HTL,PTT,1,0.05,1,EPS,0.0001,QOTu-PCA,0.6004914622397832
Ang,Right,HTL,PTT,1,0.05,1,EPS,0.0001,QOTc-HS4,0.5041885986345168
Ang,Right,HTL,PTT,1,0.05,1,EPS,0.0001,QOTc-HSsrc,0.359514401798305
Ang,Right,HTL,PTT,1,0.05,1,EPS,0.0001,QOTc-PCA,0.495769515379138
Ang,Right,HTL,PTT,1,0.05,1,EPS,0.0001,none-HS4,0.5004258408611759
Ang,Right,HTL,PTT,1,0.05,1,EPS,0.0001,none-HSsrc,0.501361294556218
Ang,Right,HTL,PTT,1,0.05,1,EPS,0.0001,none-PCA,0.46957681191795936
Ang,Right,HTL,PTT,1,0.05,1,EPS,0.01,QOTu-HS4,0.4418762129483546
Ang,Right,HTL,PTT,1,0.05,1,EPS,0.01,QOTu-HSsrc,0.48439747008642475
Ang,Right,HTL,PTT,1,0.05,1,EPS,0.01,QOTu-PCA,0.6242338354997696
Ang,Right,HTL,PTT,1,0.05,1,EPS,0.01,QOTc-HS4,0.5073998575876464
Ang,Right,HTL,PTT,1,0.05,1,EPS,0.01,QOTc-HSsrc,0.46955586892478673
Ang,Right,HTL,PTT,1,0.05,1,EPS,0.01,QOTc-PCA,0.5116093992153359
Ang,Right,HTL,PTT,1,0.05,1,EPS,0.01,none-HS4,0.5004258408611759
Ang,Right,HTL,PTT,1,0.05,1,EPS,0.01,none-HSsrc,0.501361294556218
Ang,Right,HTL,PTT,1,0.05,1,EPS,0.01,none-PCA,0.46957681191795936
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.001,COT-u,0.5516105161749718
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.001,SDMu-HS4,0.44978568336986724
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.001,SDMu-HSsrc,0.47457520628848276
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.001,SDMu-PCA,0.5920444549935077
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.001,COT-c,0.4581628806389009
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.001,SDM-HS4,0.5023176912444326
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.001,SDM-HSsrc,0.4377085573070103
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.001,SDM-PCA,0.4906245200564065
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.005,COT-u,0.5609650531253927
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.005,SDMu-HS4,0.4525711014618209
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.005,SDMu-HSsrc,0.5952347709534647
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.005,SDMu-PCA,0.5901735476034234
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.005,COT-c,0.464690113511023
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.005,SDM-HS4,0.5041885986345168
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.005,SDM-HSsrc,0.3562821998520029
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.005,SDM-PCA,0.4405149183921366
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.01,COT-u,0.5414252404953716
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.01,SDMu-HS4,0.45303882830934195
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.01,SDMu-HSsrc,0.5952347709534647
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.01,SDMu-PCA,0.6708180333133211
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.01,COT-c,0.4478100610139201
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.01,SDM-HS4,0.5041885986345168
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.01,SDM-HSsrc,0.3604917414796923
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.01,SDM-PCA,0.4878181589712802
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.05,COT-u,0.47726289041229775
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.05,SDMu-HS4,0.4455761417421778
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.05,SDMu-HSsrc,0.5518618320930427
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.05,SDMu-PCA,0.6601440877930274
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.05,COT-c,0.46071792580595616
Ang,Right,HTL,PTT,1,0.05,1,OTREG,0.05,SDM-HS4,0.5041885986345168
