Side,alpha,Source,Target,Rot,AdaptFrac,Method,BAC
Right,0.01,WRM,HTL,5,0.5,QOTu-HSsrc,0.565266722524787
Right,0.01,WRM,HTL,5,0.5,none-HSsrc,0.5201962016478145
Right,0.01,WRM,HTL,6,0.05,QOTu-HSsrc,0.5723149571710959
Right,0.01,WRM,HTL,6,0.05,none-HSsrc,0.525404495204627
Right,0.01,WRM,HTL,6,0.5,QOTu-HSsrc,0.582363276960246
Right,0.01,WRM,HTL,6,0.5,none-HSsrc,0.525404495204627
Right,0.01,WRM,HTL,7,0.05,QOTu-HSsrc,0.5433190626408292
Right,0.01,WRM,HTL,7,0.05,none-HSsrc,0.5075859996995644
Right,0.01,WRM,HTL,7,0.5,QOTu-HSsrc,0.54266185969656
Right,0.01,WRM,HTL,7,0.5,none-HSsrc,0.5075859996995644
Right,0.01,WRM,PTT,0,0.05,QOTu-HSsrc,0.6181818181818182
Right,0.01,WRM,PTT,0,0.05,none-HSsrc,0.6148674242424242
Right,0.01,WRM,PTT,0,0.5,QOTu-HSsrc,0.6139204545454545
Right,0.01,WRM,PTT,0,0.5,none-HSsrc,0.6148674242424242
Right,0.01,WRM,PTT,1,0.05,QOTu-HSsrc,0.6606187956382725
Right,0.01,WRM,PTT,1,0.05,none-HSsrc,0.6615542493333146
Right,0.01,WRM,PTT,1,0.5,QOTu-HSsrc,0.6363528475489717
Right,0.01,WRM,PTT,1,0.5,none-HSsrc,0.6615542493333146
Right,0.01,WRM,PTT,2,0.05,QOTu-HSsrc,0.645183809670078
Right,0.01,WRM,PTT,2,0.05,none-HSsrc,0.645183809670078
Right,0.01,WRM,PTT,2,0.5,QOTu-HSsrc,0.6260628569035087
Right,0.01,WRM,PTT,2,0.5,none-HSsrc,0.645183809670078
Right,0.01,WRM,PTT,3,0.05,QOTu-HSsrc,0.6140437986724507
Right,0.01,WRM,PTT,3,0.05,none-HSsrc,0.6196188086900469
Right,0.01,WRM,PTT,3,0.5,QOTu-HSsrc,0.5966828690395303
Right,0.01,WRM,PTT,3,0.5,none-HSsrc,0.6196188086900469
Right,0.01,WRM,PTT,4,0.05,QOTu-HSsrc,0.5921839703623385
Right,0.01,WRM,PTT,4,0.05,none-HSsrc,0.6032167705791994
Right,0.01,WRM,PTT,4,0.5,QOTu-HSsrc,0.5926447998554261
Right,0.01,WRM,PTT,4,0.5,none-HSsrc,0.6032167705791994
Right,0.01,WRM,PTT,5,0.05,QOTu-HSsrc,0.42748433303491495
Right,0.01,WRM,PTT,5,0.05,none-HSsrc,0.4495594402299392
Right,0.01,WRM,PTT,5,0.5,QOTu-HSsrc,0.40644583706356313
Right,0.01,WRM,PTT,5,0.5,none-HSsrc,0.4495594402299392
Right,0.01,WRM,PTT,6,0.05,QOTu-HSsrc,0.6985858585858586
Right,0.01,WRM,PTT,6,0.05,none-HSsrc,0.6175252525252526
Right,0.01,WRM,PTT,6,0.5,QOTu-HSsrc,0.7054040404040404
Right,0.01,WRM,PTT,6,0.5,none-HSsrc,0.6175252525252526
Right,0.01,WRM,PTT,7,0.05,QOTu-HSsrc,0.722909009912017
Right,0.01,WRM,PTT,7,0.05,none-HSsrc,0.6328210268404054
Right,0.01,WRM,PTT,7,0.5,QOTu-HSsrc,0.722909009912017
Right,0.01,WRM,PTT,7,0.5,none-HSsrc,0.6328210268404054
